N_nodes,T,degree,autocorrelation,tau_max_true,lag_max,repetition,graph_seed,method,peak_rss_mib,runtime_s
10,1000,1.5,0.3,3,3,2,45110124,tsboss,92.375,0.2909592089999933
10,1000,1.5,0.3,3,3,2,45110124,pcmci,99.453125,0.45189504099835176
10,1000,1.5,0.3,3,3,2,45110124,dynotears,150.34375,0.5510202500008745
10,1000,1.5,0.3,3,3,2,45110124,tsfges,208.734375,0.3932516659988323
10,1000,1.5,0.3,3,3,2,45110124,tsboss_iid,33.625,0.04029295899817953
10,1000,1.5,0.3,3,3,3,45110125,tsboss,92.359375,0.27468983399739955
10,1000,1.5,0.3,3,3,3,45110125,pcmci,99.21875,0.3999889160040766
10,1000,1.5,0.3,3,3,3,45110125,dynotears,150.578125,0.5709834169974783
10,1000,1.5,0.3,3,3,3,45110125,tsfges,207.203125,0.3881976249977015
10,1000,1.5,0.3,3,3,3,45110125,tsboss_iid,33.8125,0.034750124999845866
10,1000,1.5,0.3,3,3,4,45110126,tsboss,92.359375,0.28294216700305697
10,1000,1.5,0.3,3,3,4,45110126,pcmci,99.375,0.4366926250004326
10,1000,1.5,0.3,3,3,4,45110126,dynotears,150.359375,0.5962076249998063
10,1000,1.5,0.3,3,3,4,45110126,tsfges,190.90625,0.3726394579935004
10,1000,1.5,0.3,3,3,4,45110126,tsboss_iid,33.65625,0.020930916005454492
10,1000,1.5,0.3,3,3,5,45110127,tsboss,92.421875,0.3004728329979116
10,1000,1.5,0.3,3,3,5,45110127,pcmci,99.234375,0.40772437499981606
10,1000,1.5,0.3,3,3,5,45110127,dynotears,150.265625,0.5749102499976289
10,1000,1.5,0.3,3,3,5,45110127,tsfges,182.28125,0.41001229099492775
10,1000,1.5,0.3,3,3,5,45110127,tsboss_iid,33.921875,0.05123625000123866
10,1000,1.5,0.3,3,3,6,45110128,tsboss,92.5625,0.28241370899922913
10,1000,1.5,0.3,3,3,6,45110128,pcmci,99.125,0.3968722079953295
10,1000,1.5,0.3,3,3,6,45110128,dynotears,150.359375,0.5620074170001317
10,1000,1.5,0.3,3,3,6,45110128,tsfges,196.453125,0.38463449999835575
10,1000,1.5,0.3,3,3,6,45110128,tsboss_iid,33.640625,0.040615584002807736
10,1000,1.5,0.3,3,3,7,45110129,tsboss,92.453125,0.2730267500010086
10,1000,1.5,0.3,3,3,7,45110129,pcmci,99.15625,0.39637829199637054
10,1000,1.5,0.3,3,3,7,45110129,dynotears,150.46875,0.5641116660044645
10,1000,1.5,0.3,3,3,7,45110129,tsfges,198.09375,0.3864814580010716
10,1000,1.5,0.3,3,3,7,45110129,tsboss_iid,33.71875,0.02643612500105519
10,1000,1.5,0.3,3,3,8,45110130,tsboss,92.40625,0.27930662500148173
10,1000,1.5,0.3,3,3,8,45110130,pcmci,98.859375,0.3897287919971859
10,1000,1.5,0.3,3,3,8,45110130,dynotears,150.421875,0.5571535830022185
10,1000,1.5,0.3,3,3,8,45110130,tsfges,189.03125,0.3715842910023639
10,1000,1.5,0.3,3,3,8,45110130,tsboss_iid,33.71875,0.023384084001008887
10,1000,1.5,0.3,3,3,9,45110131,tsboss,92.640625,0.3027629159987555
10,1000,1.5,0.3,3,3,9,45110131,pcmci,99.4375,0.42107758299971465
10,1000,1.5,0.3,3,3,9,45110131,dynotears,150.359375,0.5839019999984885
10,1000,1.5,0.3,3,3,9,45110131,tsfges,208.125,0.39212920799764106
10,1000,1.5,0.3,3,3,9,45110131,tsboss_iid,33.6875,0.046402416002820246
10,1000,1.5,0.3,3,3,10,45110132,tsboss,92.5,0.29888062499958323
10,1000,1.5,0.3,3,3,10,45110132,pcmci,99.46875,0.44575270900531905
10,1000,1.5,0.3,3,3,10,45110132,dynotears,150.453125,0.5770425840019016
10,1000,1.5,0.3,3,3,10,45110132,tsfges,212.546875,0.3862233340041712
10,1000,1.5,0.3,3,3,10,45110132,tsboss_iid,33.609375,0.04064562500570901
13,1000,1.5,0.3,3,3,1,45113123,tsboss,92.53125,0.29311812500236556
13,1000,1.5,0.3,3,3,1,45113123,pcmci,100.015625,0.4688372909949976
13,1000,1.5,0.3,3,3,1,45113123,dynotears,150.5625,0.577922041004058
13,1000,1.5,0.3,3,3,1,45113123,tsfges,211.21875,0.4162718750012573
13,1000,1.5,0.3,3,3,1,45113123,tsboss_iid,34.03125,0.03706899999815505
13,1000,1.5,0.3,3,3,2,45113124,tsboss,92.46875,0.31979470800433774
13,1000,1.5,0.3,3,3,2,45113124,pcmci,99.90625,0.491035709004791
13,1000,1.5,0.3,3,3,2,45113124,dynotears,150.625,0.6016952919962932
13,1000,1.5,0.3,3,3,2,45113124,tsfges,209.765625,0.4520627499950933
13,1000,1.5,0.3,3,3,2,45113124,tsboss_iid,34.0,0.06113479100167751
13,1000,1.5,0.3,3,3,3,45113125,tsboss,92.578125,0.3877384169973084
13,1000,1.5,0.3,3,3,3,45113125,pcmci,99.96875,0.48766179199446924
13,1000,1.5,0.3,3,3,3,45113125,dynotears,150.71875,0.5635868749959627
13,1000,1.5,0.3,3,3,3,45113125,tsfges,211.4375,0.43910150000010617
13,1000,1.5,0.3,3,3,3,45113125,tsboss_iid,34.109375,0.07722995900257956
13,1000,1.5,0.3,3,3,4,45113126,tsboss,92.5,0.27738762499939185
13,1000,1.5,0.3,3,3,4,45113126,pcmci,99.5625,0.4502628749978612
13,1000,1.5,0.3,3,3,4,45113126,dynotears,150.46875,0.5553778749963385
13,1000,1.5,0.3,3,3,4,45113126,tsfges,204.734375,0.3947631250048289
13,1000,1.5,0.3,3,3,4,45113126,tsboss_iid,33.8125,0.023963375002495013
13,1000,1.5,0.3,3,3,5,45113127,tsboss,92.65625,0.2938237089983886
13,1000,1.5,0.3,3,3,5,45113127,pcmci,100.109375,0.47837641699879896
13,1000,1.5,0.3,3,3,5,45113127,dynotears,150.421875,0.5967640000017127
13,1000,1.5,0.3,3,3,5,45113127,tsfges,211.421875,0.4078272089973325
13,1000,1.5,0.3,3,3,5,45113127,tsboss_iid,33.90625,0.045338415999140125
13,1000,1.5,0.3,3,3,6,45113128,tsboss,92.65625,0.29497345800336916
